id,dut,categories,test,description,inputs,result,messages
31,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-svc-leaf1b Loopback0 (IP: 10.33.0.6),NOT RUN,
32,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-wan1 Loopback0 (IP: 10.255.2.1),NOT RUN,
33,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-wan2 Loopback0 (IP: 10.255.2.2),NOT RUN,
34,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-leaf1a Loopback0 (IP: 10.255.128.13),NOT RUN,
35,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-leaf1b Loopback0 (IP: 10.255.128.14),NOT RUN,
36,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-leaf2a Loopback0 (IP: 10.255.128.15),NOT RUN,
37,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-leaf2b Loopback0 (IP: 10.255.128.16),NOT RUN,
38,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-leaf3a.arista.com Loopback0 (IP: 10.255.128.17),NOT RUN,
39,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-leaf3b.arista.com Loopback0 (IP: 10.255.128.18),NOT RUN,
40,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-spine1 Loopback0 (IP: 10.255.128.11),NOT RUN,
41,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc2-spine2 Loopback0 (IP: 10.255.128.12),NOT RUN,
42,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 10.255.255.1) - Destination: dc1-spine1 Ethernet1 (IP: 10.255.255.0),NOT RUN,
43,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 10.255.255.3) - Destination: dc1-spine2 Ethernet1 (IP: 10.255.255.2),NOT RUN,
44,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 10.255.255.0) - Destination: dc1-wan1 Ethernet1 (IP: 10.255.255.1),NOT RUN,
45,dc1-leaf1a,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet7 (IP: 10.255.255.4) - Destination: dc1-wan2 Ethernet1 (IP: 10.255.255.5),NOT RUN,
46,dc1-leaf1a,Field Notices,VerifyFieldNotice44Resolution,Verifies that the device is using the correct Aboot version per FN0044.,,NOT RUN,
47,dc1-leaf1a,Field Notices,VerifyFieldNotice72Resolution,"Verifies if the device is exposed to FN0072, and if the issue has been mitigated.",,NOT RUN,
48,dc1-leaf1a,Greent,VerifyGreenT,Verifies if a GreenT policy is created.,,NOT RUN,
49,dc1-leaf1a,Greent,VerifyGreenTCounters,Verifies if the GreenT counters are incremented.,,NOT RUN,
50,dc1-leaf1a,Hardware,VerifyAdverseDrops,Verifies there are no adverse drops on DCS-7280 and DCS-7500 family switches.,,NOT RUN,
51,dc1-leaf1a,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,,NOT RUN,
52,dc1-leaf1a,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',NOT RUN,
53,dc1-leaf1a,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,,NOT RUN,
54,dc1-leaf1a,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',NOT RUN,
55,dc1-leaf1a,Hardware,VerifyEnvironmentSystemCooling,Verifies the system cooling status.,,NOT RUN,
56,dc1-leaf1a,Hardware,VerifyTemperature,Verifies the device temperature.,,NOT RUN,
57,dc1-leaf1a,Hardware,VerifyTemperature,Verifies the device temperature.,,NOT RUN,
58,dc1-leaf1a,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,,NOT RUN,
59,dc1-leaf1a,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",NOT RUN,
60,dc1-leaf1a,Hardware,VerifyTransceiversTemperature,Verifies the transceivers temperature.,,NOT RUN,
61,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet1 = 'up',NOT RUN,
62,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet1 = 'up',NOT RUN,
63,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - MLAG_PEER_dc1-leaf1b_Ethernet3 = 'up',NOT RUN,
64,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - MLAG_PEER_dc1-leaf1b_Ethernet4 = 'up',NOT RUN,
65,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - dc1-leaf1-server1_PCI1 = 'up',NOT RUN,
66,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet6 - P2P_LINK_TO_DC1-WAN1_Ethernet1 = 'up',NOT RUN,
67,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet7 - P2P_LINK_TO_DC1-WAN2_Ethernet1 = 'up',NOT RUN,
68,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet8 - DC1-LEAF1C_Ethernet1 = 'up',NOT RUN,
69,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - EVPN_Overlay_Peering = 'up',NOT RUN,
70,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback1 - VTEP_VXLAN_Tunnel_Source = 'up',NOT RUN,
71,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback10 - VRF10_VTEP_DIAGNOSTICS = 'up',NOT RUN,
72,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback11 - VRF11_VTEP_DIAGNOSTICS = 'up',NOT RUN,
73,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel3 - MLAG_PEER_dc1-leaf1b_Po3 = 'up',NOT RUN,
74,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel5 - dc1-leaf1-server1_PortChannel dc1-leaf1-server1 = 'up',NOT RUN,
75,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel8 - DC1-LEAF1C_Po1 = 'up',NOT RUN,
76,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan11 - VRF10_VLAN11 = 'up',NOT RUN,
77,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan12 - VRF10_VLAN12 = 'up',NOT RUN,
78,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan21 - VRF11_VLAN21 = 'up',NOT RUN,
79,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan22 - VRF11_VLAN22 = 'up',NOT RUN,
80,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF10 = 'up',NOT RUN,
81,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan3010 - MLAG_PEER_L3_iBGP: vrf VRF11 = 'up',NOT RUN,
82,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4085 - Inband Management = 'up',NOT RUN,
83,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4093 - MLAG_PEER_L3_PEERING = 'up',NOT RUN,
84,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',NOT RUN,
85,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',NOT RUN,
86,dc1-leaf1a,LANZ,VerifyLANZ,Verifies if LANZ is enabled.,,NOT RUN,
87,dc1-leaf1a,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,NOT RUN,
88,dc1-leaf1a,Profiles,VerifyTcamProfile,Verifies the device TCAM profile.,,NOT RUN,
89,dc1-leaf1a,Profiles,VerifyUnifiedForwardingTableMode,Verifies the device is using the expected UFT mode.,,NOT RUN,
90,dc1-leaf1a,PTP,VerifyPtpGMStatus,Verifies that the device is locked to a valid PTP Grandmaster.,,NOT RUN,
91,dc1-leaf1a,PTP,VerifyPtpLockStatus,Verifies that the device was locked to the upstream PTP GM in the last minute.,,NOT RUN,
92,dc1-leaf1a,PTP,VerifyPtpModeStatus,Verifies that the device is configured as a PTP Boundary Clock.,,NOT RUN,
93,dc1-leaf1a,PTP,VerifyPtpOffset,Verifies that the PTP timing offset is within +/- 1000ns from the master clock.,,NOT RUN,
94,dc1-leaf1a,PTP,VerifyPtpPortModeStatus,Verifies the PTP interfaces state.,,NOT RUN,
95,dc1-leaf1a,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,NOT RUN,
96,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,NOT RUN,
97,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,NOT RUN,
98,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.3 - Peer: dc1-leaf1a,NOT RUN,
99,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.4 - Peer: dc1-leaf1b,NOT RUN,
100,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.5 - Peer: dc1-leaf2a,NOT RUN,
101,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.3 - Peer: dc1-leaf1a,NOT RUN,
102,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.5 - Peer: dc1-leaf2a,NOT RUN,
103,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.11 - Peer: dc2-spine1,NOT RUN,
104,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.12 - Peer: dc2-spine2,NOT RUN,
105,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.13 - Peer: dc2-leaf1a,NOT RUN,
106,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.14 - Peer: dc2-leaf1b,NOT RUN,
107,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.15 - Peer: dc2-leaf2a,NOT RUN,
108,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.16 - Peer: dc2-leaf2b,NOT RUN,
109,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.17 - Peer: dc2-leaf3a.arista.com,NOT RUN,
110,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.128.18 - Peer: dc2-leaf3b.arista.com,NOT RUN,
111,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.129.13 - Peer: dc2-leaf1a,NOT RUN,
112,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.129.15 - Peer: dc2-leaf2a,NOT RUN,
113,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.129.17 - Peer: dc2-leaf3a.arista.com,NOT RUN,
114,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.2.1 - Peer: dc1-wan1,NOT RUN,
115,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.2.2 - Peer: dc1-wan2,NOT RUN,
116,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.33.0.5 - Peer: dc1-svc-leaf1a,NOT RUN,
117,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.33.0.6 - Peer: dc1-svc-leaf1b,NOT RUN,
118,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.33.1.5 - Peer: dc1-svc-leaf1a,NOT RUN,
119,dc1-leaf1a,Security,VerifyAPIHttpsSSL,Verifies if the eAPI has a valid SSL profile.,,NOT RUN,
120,dc1-leaf1a,Security,VerifyAPIHttpsSSL,Verifies if the eAPI has a valid SSL profile.,eAPI HTTPS SSL Profile: eAPI_SSL_Profile,NOT RUN,
121,dc1-leaf1a,Security,VerifyAPIHttpStatus,Verifies if eAPI HTTP server is disabled globally.,,NOT RUN,
122,dc1-leaf1a,Security,VerifyAPIIPv4Acl,Verifies if eAPI has the right number IPv4 ACL(s) configured for a specified VRF.,,NOT RUN,
123,dc1-leaf1a,Security,VerifyAPIIPv6Acl,Verifies if eAPI has the right number IPv6 ACL(s) configured for a specified VRF.,,NOT RUN,
124,dc1-leaf1a,Security,VerifyAPISSLCertificate,"Verifies the eAPI SSL certificate expiry, common subject name, encryption algorithm and key size.",,NOT RUN,
125,dc1-leaf1a,Security,VerifyBannerLogin,Verifies the login banner of a device.,,NOT RUN,
126,dc1-leaf1a,Security,VerifyBannerMotd,Verifies the motd banner of a device.,,NOT RUN,
127,dc1-leaf1a,Security,VerifyIPSecConnHealth,Verifies all IPv4 security connections.,,NOT RUN,
128,dc1-leaf1a,Security,VerifyIPv4ACL,Verifies the configuration of IPv4 ACLs.,,NOT RUN,
129,dc1-leaf1a,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,,NOT RUN,
130,dc1-leaf1a,Security,VerifySSHIPv4Acl,Verifies if the SSHD agent has IPv4 ACL(s) configured.,,NOT RUN,
131,dc1-leaf1a,Security,VerifySSHIPv6Acl,Verifies if the SSHD agent has IPv6 ACL(s) configured.,,NOT RUN,
132,dc1-leaf1a,Security,VerifySSHStatus,Verifies if the SSHD agent is disabled in the default VRF.,,NOT RUN,
133,dc1-leaf1a,Security,VerifyTelnetStatus,Verifies if Telnet is disabled in the default VRF.,,NOT RUN,
134,dc1-leaf1a,Services,VerifyDNSLookup,Verifies the DNS name to IP address resolution.,,NOT RUN,
135,dc1-leaf1a,Services,VerifyDNSServers,Verifies if the DNS servers are correctly configured.,,NOT RUN,
136,dc1-leaf1a,Services,VerifyErrdisableRecovery,"Verifies the errdisable recovery reason, status, and interval.",,NOT RUN,
137,dc1-leaf1a,Services,VerifyHostname,Verifies the hostname of a device.,,NOT RUN,
138,dc1-leaf1a,SNMP,VerifySnmpIPv4Acl,Verifies if the SNMP agent has IPv4 ACL(s) configured.,,NOT RUN,
139,dc1-leaf1a,SNMP,VerifySnmpIPv6Acl,Verifies if the SNMP agent has IPv6 ACL(s) configured.,,NOT RUN,
140,dc1-leaf1a,SNMP,VerifySnmpStatus,Verifies if the SNMP agent is enabled.,,NOT RUN,
141,dc1-leaf1a,Software,VerifyEOSExtensions,Verifies that all EOS extensions installed on the device are enabled for boot persistence.,,NOT RUN,
142,dc1-leaf1a,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,NOT RUN,
143,dc1-leaf1a,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,NOT RUN,
144,dc1-leaf1a,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,,NOT RUN,
145,dc1-leaf1a,System,VerifyAgentLogs,Verifies there are no agent crash reports.,,NOT RUN,
146,dc1-leaf1a,System,VerifyCoredump,Verifies there are no core dump files.,,NOT RUN,
147,dc1-leaf1a,System,VerifyCPUUtilization,Verifies whether the CPU utilization is below 75%.,,NOT RUN,
148,dc1-leaf1a,System,VerifyFileSystemUtilization,Verifies that no partition is utilizing more than 75% of its disk space.,,NOT RUN,
149,dc1-leaf1a,System,VerifyMemoryUtilization,Verifies whether the memory utilization is below 75%.,,NOT RUN,
150,dc1-leaf1a,System,VerifyNTP,Verifies if NTP is synchronised.,,NOT RUN,
151,dc1-leaf1a,System,VerifyNTP,Verifies if NTP is synchronised.,,NOT RUN,
152,dc1-leaf1a,System,VerifyReloadCause,Verifies the last reload cause of the device.,,NOT RUN,
153,dc1-leaf1a,System,VerifyUptime,Verifies the device uptime.,,NOT RUN,
154,dc1-leaf1a,VLAN,VerifyVlanInternalPolicy,Verifies the VLAN internal allocation policy and the range of VLANs.,,NOT RUN,
155,dc1-leaf1a,VXLAN,VerifyVxlan1ConnSettings,Verifies the interface vxlan1 source interface and UDP port.,,NOT RUN,
156,dc1-leaf1a,VXLAN,VerifyVxlan1Interface,Verifies the Vxlan1 interface status.,,NOT RUN,
157,dc1-leaf1a,VXLAN,VerifyVxlanConfigSanity,Verifies there are no VXLAN config-sanity inconsistencies.,,NOT RUN,
158,dc1-leaf1a,VXLAN,VerifyVxlanVniBinding,Verifies the VNI-VLAN bindings of the Vxlan1 interface.,,NOT RUN,
159,dc1-leaf1a,VXLAN,VerifyVxlanVtep,Verifies the VTEP peers of the Vxlan1 interface,,NOT RUN,
160,dc1-leaf1b,AAA,VerifyAcctConsoleMethods,"Verifies the AAA accounting console method lists for different accounting types (system, exec, commands, dot1x).",,NOT RUN,
161,dc1-leaf1b,AAA,VerifyAcctDefaultMethods,"Verifies the AAA accounting default method lists for different accounting types (system, exec, commands, dot1x).",,NOT RUN,
162,dc1-leaf1b,AAA,VerifyAuthenMethods,"Verifies the AAA authentication method lists for different authentication types (login, enable, dot1x).",,NOT RUN,
163,dc1-leaf1b,AAA,VerifyAuthzMethods,"Verifies the AAA authorization method lists for different authorization types (commands, exec).",,NOT RUN,
164,dc1-leaf1b,AAA,VerifyTacacsServerGroups,Verifies if the provided TACACS server group(s) are configured.,,NOT RUN,
165,dc1-leaf1b,AAA,VerifyTacacsServers,Verifies TACACS servers are configured for a specified VRF.,,NOT RUN,
166,dc1-leaf1b,AAA,VerifyTacacsSourceIntf,Verifies TACACS source-interface for a specified VRF.,,NOT RUN,
167,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-spine1 (IP: 10.255.0.1),NOT RUN,
168,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-spine2 (IP: 10.255.0.2),NOT RUN,
169,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: dc1-leaf1a (IP: 10.255.1.96),NOT RUN,
170,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: dc1-spine1 (IP: 10.255.255.4),NOT RUN,
171,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: dc1-spine2 (IP: 10.255.255.6),NOT RUN,
172,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: dc1-wan1 (IP: 10.255.255.3),NOT RUN,
173,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: dc1-wan2 (IP: 10.255.255.7),NOT RUN,
174,dc1-leaf1b,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,NOT RUN,
175,dc1-leaf1b,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,NOT RUN,
176,dc1-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-spine1 Ethernet2,NOT RUN,
