Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,DC1-SVC3A,Ethernet8,l2leaf,DC1-L2LEAF2B,Ethernet1
l3leaf,DC1-SVC3A,Ethernet10,server,server03_ESI,Eth1
l3leaf,DC1-SVC3B,Ethernet1,spine,DC1-SPINE1,Ethernet5
l3leaf,DC1-SVC3B,Ethernet2,spine,DC1-SPINE2,Ethernet5
l3leaf,DC1-SVC3B,Ethernet3,spine,DC1-SPINE3,Ethernet5
l3leaf,DC1-SVC3B,Ethernet4,spine,DC1-SPINE4,Ethernet5
l3leaf,DC1-SVC3B,Ethernet5,mlag_peer,DC1-SVC3A,Ethernet5
l3leaf,DC1-SVC3B,Ethernet6,mlag_peer,DC1-SVC3A,Ethernet6
l3leaf,DC1-SVC3B,Ethernet7,l2leaf,DC1-L2LEAF2A,Ethernet2
l3leaf,DC1-SVC3B,Ethernet8,l2leaf,DC1-L2LEAF2B,Ethernet2
l2leaf,DC1-L2LEAF1A,Ethernet1,l3leaf,DC1-LEAF2A,Ethernet7
l2leaf,DC1-L2LEAF1A,Ethernet2,l3leaf,DC1-LEAF2B,Ethernet7
l2leaf,DC1-L2LEAF2A,Ethernet1,l3leaf,DC1-SVC3A,Ethernet7
l2leaf,DC1-L2LEAF2A,Ethernet2,l3leaf,DC1-SVC3B,Ethernet7
l2leaf,DC1-L2LEAF2A,Ethernet3,mlag_peer,DC1-L2LEAF2B,Ethernet3
l2leaf,DC1-L2LEAF2A,Ethernet4,mlag_peer,DC1-L2LEAF2B,Ethernet4
l2leaf,DC1-L2LEAF2B,Ethernet1,l3leaf,DC1-SVC3A,Ethernet8
l2leaf,DC1-L2LEAF2B,Ethernet2,l3leaf,DC1-SVC3B,Ethernet8
l2leaf,DC1-L2LEAF2B,Ethernet3,mlag_peer,DC1-L2LEAF2A,Ethernet3
l2leaf,DC1-L2LEAF2B,Ethernet4,mlag_peer,DC1-L2LEAF2A,Ethernet4
