Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l3leaf,dc1-leaf2b,,Ethernet4,mlag_peer,,,Ethernet4,True
l3leaf,dc1-leaf2b,,Ethernet5,server,,,PCI2,True
l3leaf,dc1-leaf2b,,Ethernet6,l3leaf,,,Ethernet6,True
l3leaf,dc1-leaf2b,,Ethernet8,l2leaf,,,Ethernet2,True
l2leaf,dc1-leaf2c,,Ethernet1,l3leaf,,,Ethernet8,True
l2leaf,dc1-leaf2c,,Ethernet2,l3leaf,,,Ethernet8,True
l2leaf,dc1-leaf2c,,Ethernet5,server,,,iLO,True
spine,dc1-spine1,,Ethernet1,l3leaf,,,Ethernet1,True
spine,dc1-spine1,,Ethernet2,l3leaf,,,Ethernet1,True
spine,dc1-spine1,,Ethernet3,l3leaf,,,Ethernet1,True
spine,dc1-spine1,,Ethernet4,l3leaf,,,Ethernet1,True
spine,dc1-spine2,,Ethernet1,l3leaf,,,Ethernet2,True
spine,dc1-spine2,,Ethernet2,l3leaf,,,Ethernet2,True
spine,dc1-spine2,,Ethernet3,l3leaf,,,Ethernet2,True
spine,dc1-spine2,,Ethernet4,l3leaf,,,Ethernet2,True
l3leaf,dc2-leaf1a,,Ethernet1,spine,,,Ethernet1,True
l3leaf,dc2-leaf1a,,Ethernet2,spine,,,Ethernet1,True
l3leaf,dc2-leaf1a,,Ethernet3,mlag_peer,,,Ethernet3,True
l3leaf,dc2-leaf1a,,Ethernet4,mlag_peer,,,Ethernet4,True
l3leaf,dc2-leaf1a,,Ethernet5,server,,,PCI1,True
l3leaf,dc2-leaf1a,,Ethernet8,l2leaf,,,Ethernet1,True
l3leaf,dc2-leaf1b,,Ethernet1,spine,,,Ethernet2,True
l3leaf,dc2-leaf1b,,Ethernet2,spine,,,Ethernet2,True
l3leaf,dc2-leaf1b,,Ethernet3,mlag_peer,,,Ethernet3,True
l3leaf,dc2-leaf1b,,Ethernet4,mlag_peer,,,Ethernet4,True
l3leaf,dc2-leaf1b,,Ethernet5,server,,,PCI2,True
l3leaf,dc2-leaf1b,,Ethernet8,l2leaf,,,Ethernet2,True
l2leaf,dc2-leaf1c,,Ethernet1,l3leaf,,,Ethernet8,True
l2leaf,dc2-leaf1c,,Ethernet2,l3leaf,,,Ethernet8,True
l2leaf,dc2-leaf1c,,Ethernet5,server,,,iLO,True
l3leaf,dc2-leaf2a,,Ethernet1,spine,,,Ethernet3,True
l3leaf,dc2-leaf2a,,Ethernet2,spine,,,Ethernet3,True
l3leaf,dc2-leaf2a,,Ethernet3,mlag_peer,,,Ethernet3,True
l3leaf,dc2-leaf2a,,Ethernet4,mlag_peer,,,Ethernet4,True
l3leaf,dc2-leaf2a,,Ethernet5,server,,,PCI1,True
l3leaf,dc2-leaf2a,,Ethernet6,l3leaf,,,Ethernet6,True
l3leaf,dc2-leaf2a,,Ethernet8,l2leaf,,,Ethernet1,True
l3leaf,dc2-leaf2b,,Ethernet1,spine,,,Ethernet4,True
l3leaf,dc2-leaf2b,,Ethernet2,spine,,,Ethernet4,True
l3leaf,dc2-leaf2b,,Ethernet3,mlag_peer,,,Ethernet3,True
l3leaf,dc2-leaf2b,,Ethernet4,mlag_peer,,,Ethernet4,True
l3leaf,dc2-leaf2b,,Ethernet5,server,,,PCI2,True
l3leaf,dc2-leaf2b,,Ethernet6,l3leaf,,,Ethernet6,True
l3leaf,dc2-leaf2b,,Ethernet8,l2leaf,,,Ethernet2,True
l2leaf,dc2-leaf2c,,Ethernet1,l3leaf,,,Ethernet8,True
l2leaf,dc2-leaf2c,,Ethernet2,l3leaf,,,Ethernet8,True
l2leaf,dc2-leaf2c,,Ethernet5,server,,,iLO,True
spine,dc2-spine1,,Ethernet1,l3leaf,,,Ethernet1,True
spine,dc2-spine1,,Ethernet2,l3leaf,,,Ethernet1,True
spine,dc2-spine1,,Ethernet3,l3leaf,,,Ethernet1,True
spine,dc2-spine1,,Ethernet4,l3leaf,,,Ethernet1,True
spine,dc2-spine2,,Ethernet1,l3leaf,,,Ethernet2,True
spine,dc2-spine2,,Ethernet2,l3leaf,,,Ethernet2,True
spine,dc2-spine2,,Ethernet3,l3leaf,,,Ethernet2,True
spine,dc2-spine2,,Ethernet4,l3leaf,,,Ethernet2,True
