Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l3leaf,DC1-POD1-LEAF2B,,Ethernet13.1102,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet16,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet17,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet18,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet19,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet1,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet2,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet3,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet4,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet5,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet6,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet7,,,,,True
spine,DC1-POD1-SPINE1,,Ethernet8,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet1,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet2,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet3,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet4,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet5,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet7,,,,,True
spine,DC1-POD1-SPINE2,DEADBEEFC0FFEE,Ethernet8,,,,,True
l3leaf,DC1-POD2-LEAF1A,,Ethernet1,,,,,True
l3leaf,DC1-POD2-LEAF1A,,Ethernet2,,,,,True
l3leaf,DC1-POD2-LEAF1A,,Ethernet3,,,,,True
spine,DC1-POD2-SPINE1,,Ethernet1,,,,,True
spine,DC1-POD2-SPINE1,,Ethernet2,,,,,True
spine,DC1-POD2-SPINE1,,Ethernet3,,,,,True
spine,DC1-POD2-SPINE1,,Ethernet4,,,,,True
spine,DC1-POD2-SPINE1,,Ethernet5,,,,,True
spine,DC1-POD2-SPINE2,,Ethernet1,,,,,True
spine,DC1-POD2-SPINE2,,Ethernet2,,,,,True
spine,DC1-POD2-SPINE2,,Ethernet3,,,,,True
spine,DC1-POD2-SPINE2,,Ethernet4,,,,,True
overlay-controller,DC1-RS1,,Ethernet1,,,,,True
overlay-controller,DC1-RS1,,Ethernet2,,,,,True
overlay-controller,DC1-RS1,,Ethernet3,,,,,True
overlay-controller,DC1-RS2,,Ethernet1,,,,,True
overlay-controller,DC1-RS2,,Ethernet2,,,,,True
overlay-controller,DC1-RS2,,Ethernet3,,,,,True
super-spine,DC1-SUPER-SPINE1,,Ethernet1,,,,,True
super-spine,DC1-SUPER-SPINE1,,Ethernet2,,,,,True
super-spine,DC1-SUPER-SPINE1,,Ethernet3,,,,,True
super-spine,DC1-SUPER-SPINE1,,Ethernet4,,,,,True
super-spine,DC1-SUPER-SPINE1,,Ethernet5,,,,,True
super-spine,DC1-SUPER-SPINE1,,Ethernet6,,,,,True
super-spine,DC1-SUPER-SPINE2,,Ethernet1,,,,,True
super-spine,DC1-SUPER-SPINE2,,Ethernet2,,,,,True
super-spine,DC1-SUPER-SPINE2,,Ethernet3,,,,,True
super-spine,DC1-SUPER-SPINE2,,Ethernet4,,,,,True
super-spine,DC1-SUPER-SPINE2,,Ethernet5,,,,,True
super-spine,DC1-SUPER-SPINE2,,Ethernet6,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet1,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet2,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet3,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet4,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet5,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet6,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet7,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet11,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet12,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet13,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet13.1025,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet13.1100,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet13.1101,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet13.1102,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet16,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet17,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet18,,,,,True
l3leaf,DC1.POD1.LEAF2A,,Ethernet19,,,,,True
l2leaf,DC2-POD1-L2LEAF1A,,Ethernet1,,,,,True
l2leaf,DC2-POD1-L2LEAF2A,,Ethernet1,,,,,True
l3leaf,DC2-POD1-LEAF1A,,Ethernet1,,,,,True
l3leaf,DC2-POD1-LEAF1A,,Ethernet2,,,,,True
l3leaf,DC2-POD1-LEAF1A,,Ethernet3,,,,,True
l3leaf,DC2-POD1-LEAF1A,,Ethernet6,,,,,True
l3leaf,DC2-POD1-LEAF1A,,Ethernet7,,,,,True
l3leaf,DC2-POD1-LEAF2A,,Ethernet1,,,,,True
l3leaf,DC2-POD1-LEAF2A,,Ethernet2,,,,,True
l3leaf,DC2-POD1-LEAF2A,,Ethernet3,,,,,True
spine,DC2-POD1-SPINE1,,Ethernet1,,,,,True
spine,DC2-POD1-SPINE1,,Ethernet2,,,,,True
spine,DC2-POD1-SPINE1,,Ethernet3,,,,,True
spine,DC2-POD1-SPINE1,,Ethernet4,,,,,True
spine,DC2-POD1-SPINE1,,Ethernet5,,,,,True
spine,DC2-POD1-SPINE2,,Ethernet1,,,,,True
spine,DC2-POD1-SPINE2,,Ethernet2,,,,,True
spine,DC2-POD1-SPINE2,,Ethernet3,,,,,True
spine,DC2-POD1-SPINE2,,Ethernet4,,,,,True
spine,DC2-POD1-SPINE2,,Ethernet5,,,,,True
overlay-controller,DC2-RS1,,Ethernet1,,,,,True
overlay-controller,DC2-RS1,,Ethernet2,,,,,True
overlay-controller,DC2-RS2,,Ethernet1,,,,,True
overlay-controller,DC2-RS2,,Ethernet2,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet1,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet2,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet3,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet4,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet5,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet6,,,,,True
super-spine,DC2-SUPER-SPINE1,,Ethernet7,,,,,True
super-spine,DC2-SUPER-SPINE2,,Ethernet1,,,,,True
super-spine,DC2-SUPER-SPINE2,,Ethernet2,,,,,True
super-spine,DC2-SUPER-SPINE2,,Ethernet4,,,,,True
