Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
l3leaf,DC1-POD2-LEAF1A,Ethernet3,overlay-controller,DC1-RS2,Ethernet3
spine,DC1-POD2-SPINE1,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet3
spine,DC1-POD2-SPINE1,Ethernet2,super-spine,DC1-SUPER-SPINE2,Ethernet3
spine,DC1-POD2-SPINE1,Ethernet3,l3leaf,DC1-POD2-LEAF1A,Ethernet1
spine,DC1-POD2-SPINE1,Ethernet4,overlay-controller,DC1-RS2,Ethernet2
spine,DC1-POD2-SPINE1,Ethernet5,spine,DC2-POD1-SPINE1,Ethernet5
spine,DC1-POD2-SPINE2,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet4
spine,DC1-POD2-SPINE2,Ethernet2,super-spine,DC1-SUPER-SPINE2,Ethernet4
spine,DC1-POD2-SPINE2,Ethernet3,l3leaf,DC1-POD2-LEAF1A,Ethernet2
spine,DC1-POD2-SPINE2,Ethernet4,spine,DC2-POD1-SPINE2,Ethernet5
overlay-controller,DC1-RS1,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet5
overlay-controller,DC1-RS1,Ethernet2,spine,DC1-POD1-SPINE1,Ethernet6
overlay-controller,DC1-RS1,Ethernet3,l3leaf,DC1-POD1-LEAF1A,Ethernet4
overlay-controller,DC1-RS2,Ethernet1,super-spine,DC1-SUPER-SPINE2,Ethernet5
overlay-controller,DC1-RS2,Ethernet2,spine,DC1-POD2-SPINE1,Ethernet4
overlay-controller,DC1-RS2,Ethernet3,l3leaf,DC1-POD2-LEAF1A,Ethernet3
super-spine,DC1-SUPER-SPINE1,Ethernet1,spine,DC1-POD1-SPINE1,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet2,spine,DC1-POD1-SPINE2,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet3,spine,DC1-POD2-SPINE1,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet4,spine,DC1-POD2-SPINE2,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet5,overlay-controller,DC1-RS1,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet6,super-spine,DC2-SUPER-SPINE1,Ethernet4
super-spine,DC1-SUPER-SPINE2,Ethernet1,spine,DC1-POD1-SPINE1,Ethernet2
super-spine,DC1-SUPER-SPINE2,Ethernet2,spine,DC1-POD1-SPINE2,Ethernet2
super-spine,DC1-SUPER-SPINE2,Ethernet3,spine,DC1-POD2-SPINE1,Ethernet2
super-spine,DC1-SUPER-SPINE2,Ethernet4,spine,DC1-POD2-SPINE2,Ethernet2
super-spine,DC1-SUPER-SPINE2,Ethernet5,overlay-controller,DC1-RS2,Ethernet1
super-spine,DC1-SUPER-SPINE2,Ethernet6,super-spine,DC2-SUPER-SPINE2,Ethernet4
l2leaf,DC2-POD1-L2LEAF1A,Ethernet1,l3leaf,DC2-POD1-LEAF1A,Ethernet3
l2leaf,DC2-POD1-L2LEAF2A,Ethernet1,l3leaf,DC2-POD1-LEAF2A,Ethernet3
l3leaf,DC2-POD1-LEAF1A,Ethernet1,spine,DC2-POD1-SPINE1,Ethernet3
l3leaf,DC2-POD1-LEAF1A,Ethernet2,spine,DC2-POD1-SPINE2,Ethernet3
l3leaf,DC2-POD1-LEAF1A,Ethernet3,l2leaf,DC2-POD1-L2LEAF1A,Ethernet1
l3leaf,DC2-POD1-LEAF1A,Ethernet6,l3leaf,DC1-POD1-LEAF2A,Ethernet7
l3leaf,DC2-POD1-LEAF1A,Ethernet7,l3leaf,DC1-POD1-LEAF2B,Ethernet7
l3leaf,DC2-POD1-LEAF2A,Ethernet1,spine,DC2-POD1-SPINE1,Ethernet4
l3leaf,DC2-POD1-LEAF2A,Ethernet2,spine,DC2-POD1-SPINE2,Ethernet4
l3leaf,DC2-POD1-LEAF2A,Ethernet3,l2leaf,DC2-POD1-L2LEAF2A,Ethernet1
spine,DC2-POD1-SPINE1,Ethernet1,super-spine,DC2-SUPER-SPINE1,Ethernet1
spine,DC2-POD1-SPINE1,Ethernet2,super-spine,DC2-SUPER-SPINE2,Ethernet1
spine,DC2-POD1-SPINE1,Ethernet3,l3leaf,DC2-POD1-LEAF1A,Ethernet1
spine,DC2-POD1-SPINE1,Ethernet4,l3leaf,DC2-POD1-LEAF2A,Ethernet1
spine,DC2-POD1-SPINE1,Ethernet5,spine,DC1-POD2-SPINE1,Ethernet5
spine,DC2-POD1-SPINE2,Ethernet1,super-spine,DC2-SUPER-SPINE1,Ethernet2
spine,DC2-POD1-SPINE2,Ethernet2,super-spine,DC2-SUPER-SPINE2,Ethernet2
spine,DC2-POD1-SPINE2,Ethernet3,l3leaf,DC2-POD1-LEAF1A,Ethernet2
spine,DC2-POD1-SPINE2,Ethernet4,l3leaf,DC2-POD1-LEAF2A,Ethernet2
spine,DC2-POD1-SPINE2,Ethernet5,spine,DC1-POD2-SPINE2,Ethernet4
overlay-controller,DC2-RS1,Ethernet1,super-spine,DC2-SUPER-SPINE1,Ethernet3
overlay-controller,DC2-RS1,Ethernet2,super-spine,DC2-SUPER-SPINE1,Ethernet6
overlay-controller,DC2-RS2,Ethernet1,super-spine,DC2-SUPER-SPINE1,Ethernet5
overlay-controller,DC2-RS2,Ethernet2,super-spine,DC2-SUPER-SPINE1,Ethernet7
super-spine,DC2-SUPER-SPINE1,Ethernet1,spine,DC2-POD1-SPINE1,Ethernet1
super-spine,DC2-SUPER-SPINE1,Ethernet2,spine,DC2-POD1-SPINE2,Ethernet1
super-spine,DC2-SUPER-SPINE1,Ethernet3,overlay-controller,DC2-RS1,Ethernet1
super-spine,DC2-SUPER-SPINE1,Ethernet4,super-spine,DC1-SUPER-SPINE1,Ethernet6
super-spine,DC2-SUPER-SPINE1,Ethernet5,overlay-controller,DC2-RS2,Ethernet1
super-spine,DC2-SUPER-SPINE1,Ethernet6,overlay-controller,DC2-RS1,Ethernet2
super-spine,DC2-SUPER-SPINE1,Ethernet7,overlay-controller,DC2-RS2,Ethernet2
super-spine,DC2-SUPER-SPINE2,Ethernet1,spine,DC2-POD1-SPINE1,Ethernet2
super-spine,DC2-SUPER-SPINE2,Ethernet2,spine,DC2-POD1-SPINE2,Ethernet2
super-spine,DC2-SUPER-SPINE2,Ethernet4,super-spine,DC1-SUPER-SPINE2,Ethernet6
